Placa;DAP (cm);Altura (m);Habito;Codigos observaciones
405;10,73;10,5;Arbol;
406;12,35;14,2;Arbol;
407;14,83;14,2;Arbol;
408;10,09;12;Arbol;
409;10,76;12;Arbol;R
410;16,42;7;Arbol;
411;19,16;9,5;Arbol;
412;10,98;8,5;Arbol;
413;10,89;5,5;Arbol;
414;13,11;7;Arbol;
415;11,59;5,5;Arbol;
416;22,41;11,8;Arbol;
417;10,22;5;Arbol;
418;12,29;22;Arbol;
419;18,46;7;Arbol;
420;20,37;13,3;Arbol;L
421;19,07;10,8;Arbol;
422;19,26;12;Arbol;L,Q
423;18,4;12,7;Arbol;L
424;22,73;5;Arbol;Y
425;10,54;6;Arbol;
426;10,22;7;Arbol;
